ID,Place (x),Knowledge (y),Action (z),K5Name
3220,-0.07,0.036,0.4,Science Policy
3227,-0.031,0.229,0.624,Science Policy
3232,-0.126,0.222,0.405,Science Policy
3282,-0.207,0.019,0.694,Science Policy
3293,0.225,0.169,0.219,Science Policy
3294,-0.461,0.314,0.738,Science Policy
3295,0.362,0.719,0.044,Science Policy
3300,0,0.083,0.23,Science Policy
3305,0.027,0.185,0.451,Science Policy
3325,-0.159,0.132,0.58,Science Policy
3330,-0.159,0.03,0.622,Science Policy
3340,-0.218,0.008,0.482,Science Policy
3342,0.035,0.324,0.214,Science Policy
3344,0.195,0.159,0.554,Science Policy
3345,0.012,0.222,0.387,Science Policy
3347,0.191,0.291,0.191,Science Policy
3355,-0.28,0.352,0.35,Science Policy
3358,-0.053,0.25,0.587,Science Policy
3360,0.128,0.477,0.283,Science Policy
3362,-0.03,0.451,0.429,Science Policy
3373,-0.265,0.164,0.327,Science Policy
3388,-0.225,0.262,0.454,Science Policy
3390,0.321,0.089,0.396,Science Policy
3391,0.029,0.28,0.195,Science Policy
3394,0.027,0.165,0.259,Science Policy
3400,-0.146,0.125,0.188,Science Policy
3403,0.497,0.533,0.684,Science Policy
3409,0.248,0.831,0.225,Science Policy
3411,-0.135,0.016,0.267,Science Policy
3429,0.346,0.662,0.535,Science Policy
3434,0.026,0.648,0.738,Science Policy
3446,-0.167,0.207,0.502,Science Policy
3472,-0.276,0.273,0.436,Science Policy
3473,-0.312,0.386,0.704,Science Policy
3488,-0.014,0.102,0.396,Science Policy
3499,-0.418,0.02,0.731,Science Policy
3511,-0.305,0.254,0.653,Science Policy
3512,-0.101,0.201,0.524,Science Policy
3516,0.181,0.445,0.074,Science Policy
3517,-0.269,0.012,0.624,Science Policy
3535,-0.234,0.397,0.747,Science Policy
3546,-0.299,0.307,0.419,Science Policy
3549,-0.107,0.28,0.153,Science Policy
3558,-0.256,0.272,0.421,Science Policy
3563,0.284,0.568,0.59,Science Policy
3566,-0.358,0.05,0.388,Science Policy
3579,-0.436,0.19,0.788,Science Policy
3582,-0.037,0.121,0.245,Science Policy
3587,-0.237,0.174,0.453,Science Policy
3588,-0.374,0.002,0.473,Science Policy
3592,-0.133,0.621,0.668,Science Policy
3598,-0.013,0.258,0.252,Science Policy
3599,-0.3,0.136,0.433,Science Policy
3603,-0.107,0.129,0.284,Science Policy
3611,-0.175,0.248,0.528,Science Policy
3613,-0.503,0.125,0.754,Science Policy
3616,-0.038,0.356,0.142,Science Policy
3641,-0.394,0.307,0.521,Science Policy
3643,-0.142,0.152,0.555,Science Policy
3655,-0.294,0.112,0.494,Science Policy
3678,-0.217,0.051,0.25,Science Policy
3679,-0.316,0.087,0.432,Science Policy
3692,-0.099,0.162,0.317,Science Policy
3708,-0.245,0.237,0.381,Science Policy
3722,-0.161,0.009,0.361,Science Policy
3724,-0.254,0.246,0.344,Science Policy
3731,-0.255,0.266,0.541,Science Policy
3732,-0.547,0.025,0.652,Science Policy
3734,-0.308,0.244,0.338,Science Policy
3739,-0.431,0.348,0.724,Science Policy
3757,-0.05,0.204,0.545,Science Policy
3759,-0.181,0.187,0.337,Science Policy
3830,0.158,0.289,0.126,Science Policy
3844,-0.085,0.072,0.456,Science Policy
3871,-0.238,0.484,0.327,Science Policy
3900,-0.448,0.03,0.575,Science Policy
3901,-0.136,0.475,0.59,Science Policy
3921,-0.172,0.242,0.186,Science Policy
3959,-0.274,0.334,0.764,Science Policy
3977,-0.422,0.471,0.473,Science Policy
3998,0.121,0.263,0.883,Science Policy
4001,-0.262,0.228,0.732,Science Policy
4013,-0.317,0.002,0.391,Science Policy
4040,-0.152,0.365,0.723,Science Policy
4041,-0.225,0.318,0.591,Science Policy
4050,-0.2,0.335,0.651,Science Policy
4051,0.105,0.313,0.626,Science Policy
4060,-0.374,0.129,0.492,Science Policy
4077,0.034,0.421,0.28,Science Policy
4099,-0.25,0.093,0.422,Science Policy
4189,0.158,0.446,0.207,Science Policy
4201,0.027,0.229,0.427,Science Policy
4203,0.252,0.579,0.315,Science Policy
4213,0.367,0.313,0.446,Science Policy
4231,-0.253,0.229,0.323,Science Policy
4234,-0.459,0.315,0.55,Science Policy
4235,0.013,0.459,0.491,Science Policy
4237,-0.495,0.087,0.664,Science Policy
4238,-0.241,0.066,0.435,Science Policy
4242,-0.325,0.046,0.426,Science Policy
4243,0.165,0.472,0.281,Science Policy
4245,0.047,0.07,0.381,Science Policy
4272,0.008,0.055,0.468,Science Policy
4334,-0.225,0.473,0.624,Science Policy
4350,0.073,0.242,0.424,Science Policy
4352,0.068,0.266,0.176,Science Policy
4378,0.068,0.595,0.62,Science Policy
4382,0.481,0.16,0.224,Science Policy
4384,0.057,0.668,0.557,Science Policy
4386,0.296,0.219,0.482,Science Policy
4387,-0.284,0.372,0.374,Science Policy
4392,-0.308,0.144,0.38,Science Policy
4393,-0.302,0.15,0.362,Science Policy
4418,-0.157,0.193,0.192,Science Policy
4429,0.172,0.592,0.955,Science Policy
4446,-0.011,0.073,0.43,Science Policy
4466,-0.151,0.128,0.25,Science Policy
4495,-0.551,0.133,0.612,Science Policy
4507,-0.206,0.282,0.57,Science Policy
4531,0.503,0.018,0.312,Science Policy
4606,-0.062,0.242,0.297,Science Policy
4628,0.182,0.076,0.451,Science Policy
4656,0.302,0.228,0.414,Science Policy
4670,-0.102,0.042,0.312,Science Policy
4677,-0.261,0.386,0.8,Science Policy
4711,0.171,0.634,0.509,Science Policy
4748,0.023,0.077,0.263,Science Policy
4749,0.001,0.132,0.364,Science Policy
4754,0.041,0.627,0.187,Science Policy
4776,-0.139,0.23,0.146,Science Policy
4801,-0.197,0.352,0.229,Science Policy
4810,-0.352,0.418,0.408,Science Policy
4828,-0.198,0.525,0.3,Science Policy
4881,-0.18,0.424,0.255,Science Policy
4903,0.275,0.066,0.225,Science Policy
4910,-0.1,0.093,0.268,Science Policy
4942,-0.171,0.095,0.312,Science Policy
4949,0.119,0.065,0.382,Science Policy
4952,-0.162,0.15,0.216,Science Policy
4953,0.028,0.263,0.298,Science Policy
4956,0.057,0.312,0.175,Science Policy
4966,-0.134,0.282,0.476,Science Policy
4983,-0.123,0.009,0.31,Science Policy
4995,-0.419,0.248,0.678,Science Policy
5026,-0.348,0.134,0.795,Science Policy
5027,-0.493,0.662,0.649,Science Policy
5034,0.193,0.07,0.497,Science Policy
5044,-0.173,0.108,0.445,Science Policy
5051,-0.086,0.11,0.415,Science Policy
